channel_id,video_id,title,published_at,duration,view_count,like_count,comment_count
UCHXfJ__xZs-BAA-tU8L19rQ,2vKCTfJTq3c,[브리핑] 종부세 폐지는 우리 모두를 더 가난하게 만들 것입니다 (24. 6. 3.),2024-06-03T07:51:14Z,0h 5m 3s,94,24,4
UCHXfJ__xZs-BAA-tU8L19rQ,bevYB6B-bgw,[전문] 미친세상을 믿지 않는다 - 한창민,2024-05-26T07:03:39Z,0h 4m 34s,185,31,8
UCHXfJ__xZs-BAA-tU8L19rQ,mhSfqBEYLfU,[전문] 22대 국회 의정활동 비전 발표 기자회견 #사회민주당 #한창민,2024-05-13T12:23:29Z,0h 9m 52s,224,34,4
UCHXfJ__xZs-BAA-tU8L19rQ,G87BSa2ZgWA,"[든든라이브] 사회민주당 원내진출! 총선 비하인드부터 의정활동계획까지, 한창민 당선인이 말한다!",2024-04-23T23:25:46Z,1h 4m 41s,1283,135,7
UCHXfJ__xZs-BAA-tU8L19rQ,u-MrZGGCbig,일할 수 있는 기회를 주십시오 #더불어민주연합 #한창민 #김어준,2024-04-10T07:23:32Z,0h 0m 57s,615,31,5
UCHXfJ__xZs-BAA-tU8L19rQ,yWaEMYvru2Q,"[한창민 시동위키 출연본] 대파부터 사과까지, 민생경제 대폭망더불어민주연합 한창민 후보 #박시동 #안진걸 #이광수#한창민  #이해민 #더불어민주연합 #이재명 #조국#이재명  #민주",2024-04-08T04:55:02Z,0h 51m 53s,353,11,2
UCHXfJ__xZs-BAA-tU8L19rQ,td0YbGd8rQQ,[당원제작] 겸손하고 서민다운 #한창민 #더불어민주연합 #매불쇼,2024-03-29T09:01:48Z,0h 0m 48s,4176,68,8
UCHXfJ__xZs-BAA-tU8L19rQ,x0eiHa4lOb8,[FULL] 대통령 채상병 사건 범죄은폐 게이트 관련 이종섭 사퇴 및 구속수사 촉구 기자회견,2024-03-28T02:46:30Z,0h 14m 14s,118,24,5
UCHXfJ__xZs-BAA-tU8L19rQ,VgJNhqHSWZk,[당원제작] 국민의 뜻을 받아안아 승리까지! #한창민 #더불어민주연합 #조국혁신당,2024-03-27T04:36:57Z,0h 0m 42s,4154,176,6
UCHXfJ__xZs-BAA-tU8L19rQ,HE75jXNlOxs,사회민주당! 진보의 새희망입니다,2024-03-26T11:16:39Z,0h 1m 31s,113,22,1
