channel_id,video_id,title,published_at,duration,view_count,like_count,comment_count
UCKsehTG1cZIeb80J4AyiJ6Q,ROJocAcHTLQ,조국대표의 단점은?? [ 조국혁신당의 주권당원이 되어주세요],2024-06-07T02:16:00Z,0h 1m 32s,2367,723,71
UCKsehTG1cZIeb80J4AyiJ6Q,2jaX4K82_ms,'주권당원' 10만 달성 시 조국 대표 공약은? 춤? 노래?,2024-06-03T06:48:21Z,0h 1m 41s,14020,2943,377
UCKsehTG1cZIeb80J4AyiJ6Q,qXEYKAtzn-s,혁신당의 주권당원이 되어주십시오,2024-05-30T00:45:52Z,0h 1m 10s,7579,1858,239
UCKsehTG1cZIeb80J4AyiJ6Q,Jex8lNIAAzs,조국혁신당 홈페이지가 새롭게 돌아왔습니다,2024-05-29T08:12:15Z,0h 1m 26s,6949,2427,239
UCKsehTG1cZIeb80J4AyiJ6Q,QNhQoV_wpGA,국민의 인내심도 한계가 있습니다 #조국 #조국혁신당,2024-05-25T17:34:42Z,0h 1m 0s,6951,1055,81
UCKsehTG1cZIeb80J4AyiJ6Q,lLnF_zaLTrc,국민이 주인 노릇하기 왜 이렇게 힘듭니까? #조국혁신당 #조국,2024-05-25T17:33:16Z,0h 0m 59s,7772,1270,71
UCKsehTG1cZIeb80J4AyiJ6Q,qVa5U97BAeU,국민을 거부하면 국민이 거부한다,2024-05-25T11:28:57Z,0h 5m 0s,8854,2517,269
UCKsehTG1cZIeb80J4AyiJ6Q,tlOklL1USEM,"채 상병 특검법, 대통령 거부권을 거부한다!",2024-05-21T12:25:46Z,0h 1m 0s,5547,828,59
UCKsehTG1cZIeb80J4AyiJ6Q,kq5ngAs011Q,"혁신당은 3특검, 3국조로 대한민국호를 제대로 된 항로로 재진입 시키겠습니다.",2024-05-21T06:31:17Z,0h 9m 57s,5963,1476,175
UCKsehTG1cZIeb80J4AyiJ6Q,p4D1Z8b859g,거부권은 폭탄주 퍼 마시듯 사용하는 권한이 아닙니다.,2024-05-20T03:49:19Z,0h 1m 0s,5057,1004,41
UCKsehTG1cZIeb80J4AyiJ6Q,LuKFCLUf7h4,국회 개헌특위 설치 및 제7공화국 개헌 일곱가지 제안 기자회견,2024-05-17T06:58:05Z,0h 11m 47s,5347,1451,298
UCKsehTG1cZIeb80J4AyiJ6Q,1z2UOt1rBg8,"식물 총장 인사, 그 다음은?",2024-05-16T05:05:35Z,0h 0m 54s,8791,1238,24
