channel_id,video_id,title,published_at,duration,view_count,like_count,comment_count
UCD2FurCIhOsG3FsTM1-jirA,-9D9VGNbXD0,진보당당! 기호1 정태흥,2024-06-07T05:13:24Z,0h 0m 41s,340,30,1
UCD2FurCIhOsG3FsTM1-jirA,_7dQoSQYI1I,정태흥? 궁금하시죠?,2024-06-05T09:47:25Z,0h 2m 19s,751,62,5
UCD2FurCIhOsG3FsTM1-jirA,QN2ltg-oedk,[진보당 3기 정견발표] 청년진보당 대표 후보 홍희진,2024-05-30T12:50:01Z,0h 2m 21s,435,43,7
UCD2FurCIhOsG3FsTM1-jirA,k5uYisLnzGE,[진보당 3기 정견발표] 상임대표 후보 2번 김재연,2024-05-30T12:50:01Z,0h 4m 51s,1903,284,126
UCD2FurCIhOsG3FsTM1-jirA,5mZw1Qs3otI,[진보당 3기 정견발표] 일반대표 후보 1번 장진숙,2024-05-30T12:49:56Z,0h 2m 31s,500,31,2
UCD2FurCIhOsG3FsTM1-jirA,CQ3xhm_JoMI,[진보당 3기 정견발표] 상임대표 후보 1번 정태흥,2024-05-30T12:49:55Z,0h 4m 34s,1185,57,14
UCD2FurCIhOsG3FsTM1-jirA,Q0qAzh71L4M,[진보당 3기 정견발표] 빈민당 대표 후보 이경민,2024-05-30T12:49:55Z,0h 2m 56s,415,28,7
UCD2FurCIhOsG3FsTM1-jirA,_UQuZ0uOqlc,[진보당 3기 정견발표] 노동자당 대표 후보 김창년,2024-05-30T12:49:54Z,0h 2m 53s,609,117,58
UCD2FurCIhOsG3FsTM1-jirA,vQh-Zppjz40,"진보의 미래, 국민과 함께! [진보당 3기 전국동시당직선거]",2024-05-30T12:49:54Z,0h 0m 47s,339,21,0
UCD2FurCIhOsG3FsTM1-jirA,xA3nVg_KNZk,[진보당 3기 정견발표] 일반대표 후보 2번 신창현,2024-05-30T12:49:54Z,0h 2m 45s,466,39,7
UCD2FurCIhOsG3FsTM1-jirA,2ZJk6dU_oIo,"조천호 전 국립기상과학원장 특강 “기후위기와 22대 국회의 과제” [22대 국회, 진보당에 바란다]",2024-05-29T22:15:15Z,2h 2m 48s,465,56,2
UCD2FurCIhOsG3FsTM1-jirA,81VIZeIjGDc,채 상병 특검법 거부권을 거부한다,2024-05-26T03:05:54Z,0h 0m 57s,837,136,1
UCD2FurCIhOsG3FsTM1-jirA,dsq4futTgKk,"국민에게 사랑받는 진보정치, 22대 국회에서 함께 만들어갑시다 | 중앙위 상영영상",2024-05-22T04:31:39Z,0h 1m 38s,2022,99,7
UCD2FurCIhOsG3FsTM1-jirA,C6f3AmvCdz4,강성희의 시간은 계속됩니다!,2024-05-21T01:56:59Z,0h 2m 46s,1468,169,42
UCD2FurCIhOsG3FsTM1-jirA,o1IH6KR1bdk,"간호사, 도의원, 노동자, 전종덕 let's go🔥| 전종덕 진보당 국회의원 [💎진보당선인]",2024-05-17T09:30:15Z,0h 4m 21s,717,104,6
UCD2FurCIhOsG3FsTM1-jirA,5fjdYBV1Ewc,대통령이 국정전환을 거부한다면,2024-05-14T05:42:41Z,0h 0m 48s,832,108,6
UCD2FurCIhOsG3FsTM1-jirA,C9rz-gTQd_8,그치만 쌍둥이들 생각하면 웃음이 나오는… | 윤종오 진보당 국회의원 [💎진보당선인],2024-05-10T09:30:07Z,0h 4m 3s,836,102,10
UCD2FurCIhOsG3FsTM1-jirA,3zX5gSw0_Qw,정권에 맞서 민주주의를 지키겠습니다,2024-05-10T06:23:42Z,0h 0m 51s,886,100,1
UCD2FurCIhOsG3FsTM1-jirA,6lkSDP2Dpjs,천만 비정규직 노동자들과 함께,2024-05-09T08:50:38Z,0h 0m 33s,1366,160,11
UCD2FurCIhOsG3FsTM1-jirA,hNyTMc2G-sA,이태원 참사 유가족들의 두번째 어버이날,2024-05-08T05:45:06Z,0h 0m 46s,684,102,4
UCD2FurCIhOsG3FsTM1-jirA,B0ktk6jPhPk,3년을 이대로 더 살 수는 없습니다,2024-05-08T02:56:18Z,0h 0m 47s,1008,139,6
UCD2FurCIhOsG3FsTM1-jirA,nwws-uGqKgI,국민은 더 이상 참을 인내심이 없다,2024-05-07T05:48:04Z,0h 0m 58s,242,72,1
UCD2FurCIhOsG3FsTM1-jirA,3A4Ru4_fxqg,당 이름을 바꾸라던데요? | 정혜경 진보당 국회의원 [💎진보당선인],2024-05-02T09:30:07Z,0h 3m 56s,2336,209,28
UCD2FurCIhOsG3FsTM1-jirA,XkhM1tuXMbI,김진표 국회의장에게 채상병 특검법 촉구하는 진보당 강성희 의원,2024-05-02T05:14:26Z,0h 0m 46s,29685,2240,186
UCD2FurCIhOsG3FsTM1-jirA,EzkqnsoSPeQ,비서실장 하기 전에 사과가 먼저,2024-05-01T06:10:00Z,0h 0m 47s,339,67,3
UCD2FurCIhOsG3FsTM1-jirA,TRh5RzrLb6o,대화를 시작해야 합니다,2024-04-29T06:43:47Z,0h 0m 42s,1856,80,2
UCD2FurCIhOsG3FsTM1-jirA,XFZ0tckEETY,누구를 위한 대통령,2024-04-29T05:36:21Z,0h 0m 43s,7856,258,11
UCD2FurCIhOsG3FsTM1-jirA,Nq-TyIast5s,22대 국회에서 언론자유 토대 만들겠습니다,2024-04-29T01:14:53Z,0h 0m 43s,2894,155,4
UCD2FurCIhOsG3FsTM1-jirA,t73qGwd8h2I,정치하는 대통령?,2024-04-25T08:02:15Z,0h 0m 36s,1919,121,3
UCD2FurCIhOsG3FsTM1-jirA,XuPQ1_Lpung,제68차 대표단회의 모두발언 라이브,2024-04-22T00:09:11Z,0h 3m 31s,564,56,7
UCD2FurCIhOsG3FsTM1-jirA,HfKTeSUqsH0,제 19차 선대본부장단 회의 모두발언 _ 2024.04.15,2024-04-15T00:14:13Z,0h 3m 1s,1039,101,8
UCD2FurCIhOsG3FsTM1-jirA,31wIRpwg1vI,윤석열 탄핵! 전주의 발전! 강성희가 합니다!,2024-04-09T06:58:22Z,0h 0m 59s,2879,250,16
UCD2FurCIhOsG3FsTM1-jirA,lUEm4_nqPkE,윤석열 정권 심판까지 D-2,2024-04-08T09:45:53Z,0h 1m 52s,2106,203,42
UCD2FurCIhOsG3FsTM1-jirA,-5Q6jFoC9-c,비례투표는 기호3번 더불어민주연합,2024-04-08T00:41:24Z,0h 1m 39s,2146,343,163
UCD2FurCIhOsG3FsTM1-jirA,LgxvbiX02kc,"구슬땀을 흘리는 진보당 당원여러분들께, 청년들이 전하고 싶은 이야기",2024-04-05T00:21:27Z,0h 3m 21s,1613,156,37
UCD2FurCIhOsG3FsTM1-jirA,pI2Cwao_nXU,[순천7 이성수] 그 원룸이랑 차 누구겁니까?,2024-04-04T10:17:05Z,0h 1m 17s,916,72,11
UCD2FurCIhOsG3FsTM1-jirA,5Wo2sZlxWKk,비례투표를 기호3번 더불어민주연합으로 투표해야하는 이유,2024-04-04T09:12:31Z,0h 3m 49s,3721,303,95
UCD2FurCIhOsG3FsTM1-jirA,vdsEPCAPtFk,이성윤 후보 검수완박 반대하지 않으셨습니까?,2024-04-03T07:53:17Z,0h 0m 56s,3417,261,59
UCD2FurCIhOsG3FsTM1-jirA,E28z2a3BWdA,윤종오가 누군데?,2024-04-02T05:11:42Z,0h 0m 36s,8452,315,13
UCD2FurCIhOsG3FsTM1-jirA,zifNx80ayxM,진보당 총선 목표는 윤석열 심판,2024-03-31T11:18:21Z,0h 0m 25s,3577,173,16
UCD2FurCIhOsG3FsTM1-jirA,wPtvWzO3218,노정현이 누군데?,2024-03-31T11:18:08Z,0h 0m 33s,17981,575,17
UCD2FurCIhOsG3FsTM1-jirA,iuH7tzdzDV8,부울광전 진보벨트,2024-03-31T11:17:56Z,0h 0m 37s,2468,166,4
UCD2FurCIhOsG3FsTM1-jirA,9FClTuBuZL4,스펙트럼이 다른 민주당과 연대?,2024-03-31T11:17:45Z,0h 0m 27s,4748,225,10
UCD2FurCIhOsG3FsTM1-jirA,R0cAVejKayc,진보당 강령이 한미관계 해체?,2024-03-31T11:17:30Z,0h 0m 27s,5609,240,21
UCD2FurCIhOsG3FsTM1-jirA,7rORsNpq1fo,진보당이 국민 여러분께,2024-03-31T11:17:16Z,0h 0m 36s,4836,280,31
UCD2FurCIhOsG3FsTM1-jirA,jJAkfhEMLj8,부울광전 진보벨트를 구축하겠습니다,2024-03-25T12:19:20Z,0h 0m 34s,5550,224,23
UCD2FurCIhOsG3FsTM1-jirA,LqExCgHzM80,노동정치와 기후정치의 양날개로 대전환의 출구를 찾겠습니다,2024-03-23T05:32:01Z,0h 0m 45s,1452,145,6
UCD2FurCIhOsG3FsTM1-jirA,XLXlvT3trKE,국민이 압도적으로 승리하는 4월 10일을 만들겠습니다,2024-03-21T10:25:41Z,0h 0m 36s,4678,244,13
UCD2FurCIhOsG3FsTM1-jirA,y-lFce-fGuY,116년동안 변하지 않는 것,2024-03-21T07:39:45Z,0h 0m 43s,2028,168,9
UCD2FurCIhOsG3FsTM1-jirA,nsAynNsw1xc,반윤 연합정치와 부울광전 진보벨트로 노동·인권·기후국회를 만들겠습니다,2024-03-20T11:49:03Z,0h 4m 53s,1379,229,41
UCD2FurCIhOsG3FsTM1-jirA,FjB3LNFO2CA,대출광고 아닙니다,2024-03-15T10:59:58Z,0h 0m 59s,879,87,1
UCD2FurCIhOsG3FsTM1-jirA,PSfUmBIITpQ,'니들도 칼맞기 싫으면 알아서 몸사려',2024-03-15T07:27:15Z,0h 0m 58s,5628,234,24
UCD2FurCIhOsG3FsTM1-jirA,KkpxrOT7REc,이런 사람 또 없습니다,2024-03-14T07:56:25Z,0h 0m 41s,1658,181,10
UCD2FurCIhOsG3FsTM1-jirA,XTsBAmIzXog,채상병 사건 핵심 피의자,2024-03-14T06:53:57Z,0h 0m 39s,2110,163,6
UCD2FurCIhOsG3FsTM1-jirA,xeoefQ3wbuc,박민의 KBS,2024-03-13T10:54:29Z,0h 0m 30s,9346,194,30
UCD2FurCIhOsG3FsTM1-jirA,vn5yCKWL5vc,도이치모터스,2024-03-13T06:36:16Z,0h 0m 30s,773,89,3
UCD2FurCIhOsG3FsTM1-jirA,rIDzpGXS99Q,한동훈 위원장을 고발합니다,2024-03-13T03:37:49Z,0h 0m 49s,2954,181,16
UCD2FurCIhOsG3FsTM1-jirA,kjnFG0H86VE,한동훈 위원장 선거에 이기고 싶다고..,2024-03-12T08:59:20Z,0h 0m 37s,8762,300,35
UCD2FurCIhOsG3FsTM1-jirA,Nfa0lbrXFTc,부동의 꼴찌,2024-03-08T11:46:39Z,0h 0m 56s,1392,174,16
UCD2FurCIhOsG3FsTM1-jirA,pyGQWYf4IP4,돌봄으로 인해 누군가의 인생을 멈추게 하지 마십시오,2024-03-08T09:40:10Z,0h 1m 0s,833,113,7
UCD2FurCIhOsG3FsTM1-jirA,ERbs8U8gZ2I,어디 내놔도 부끄러운 국민의힘,2024-03-07T07:35:06Z,0h 0m 51s,1248,146,13
UCD2FurCIhOsG3FsTM1-jirA,ksCkpvllCG4,나도 내 아이 돌보고 싶습니다,2024-03-06T06:40:31Z,0h 0m 55s,890,114,8
UCD2FurCIhOsG3FsTM1-jirA,BLDxpS_c1JA,홍희진 공동대표가 15분만에 말아주는 진보당 정책,2024-02-26T10:56:01Z,0h 15m 16s,1510,150,24
UCD2FurCIhOsG3FsTM1-jirA,v6oYpxHoOQY,[LIVE] 12차 선대본부장단회의 모두발언,2024-02-26T00:08:03Z,0h 5m 25s,552,60,6
UCD2FurCIhOsG3FsTM1-jirA,BflPZbSE5S8,민주개혁진보 선거연합 합의 서명식,2024-02-22T02:26:07Z,0h 1m 40s,2668,540,262
UCD2FurCIhOsG3FsTM1-jirA,oZdiq_L1Azs,김건희 무서워 손도 못 대는 겁니까?,2024-02-22T01:04:00Z,0h 0m 31s,6984,662,9
UCD2FurCIhOsG3FsTM1-jirA,7a6QH-jK_8U,폭력 행사한 경호처가 가해자입니다,2024-02-20T10:07:32Z,0h 0m 34s,4516,248,16
UCD2FurCIhOsG3FsTM1-jirA,eaPG4c40Xy0,병원 찾는 국민 심정 헤아려 주십시오,2024-02-20T04:49:44Z,0h 0m 39s,9122,291,22
UCD2FurCIhOsG3FsTM1-jirA,Dw8w1GHSoOk,극우 유튜버로 돌아가십시오,2024-02-19T07:32:33Z,0h 0m 37s,2062,193,19
